entidad,mun,pob_tot,p_15ymas,p_6a14,p15ym_an,p_6a14_noa,p_15ymas_edbasinc,psinder,vivpar_hab,vph_pisoti,vph_excsa,vph_aguafv,vph_nodren,vph_s_elec,vph_lavad,vph_refri,vph_cel,vph_pc,vph_inter,vph_tv
08,08030,7429,5029,1361,718,126,3227,441,2051,341,1927,369,865,444,827,1213,1158,151,121,1232
08,08031,39064,28461,6571,1452,224,16511,3812,12217,416,11736,841,2547,640,8847,10248,9199,2170,1786,10752
08,08032,109510,81111,17496,1484,598,23179,8534,30589,398,30331,188,214,103,26281,29638,26534,13319,12965,30006
08,08033,952,730,131,43,1,465,41,306,3,268,15,35,5,216,274,210,24,4,272
08,08034,6903,5182,1126,137,47,2972,315,2299,18,2201,19,186,15,2129,2227,1818,411,236,2191
08,08035,10974,7479,2031,297,233,4944,1608,3156,39,3063,19,242,37,2716,2871,2534,434,251,2323
08,08036,42860,30723,7523,862,279,10059,2127,12074,101,11839,132,251,36,10103,11524,9554,3180,2872,11708
08,08037,1391180,981843,256477,14122,8812,291895,197169,394254,3219,391367,5259,2582,869,335375,380316,353222,158791,158612,388621
08,08038,4448,3299,696,133,33,1811,444,1399,19,1350,13,51,8,1226,1334,1238,309,210,1329
08,08039,4007,2995,638,165,23,1331,226,1219,5,1191,9,28,2,1065,1167,915,289,256,1185
08,08040,29233,20891,5294,1030,270,11181,1535,8878,257,8652,475,2044,202,7327,7865,7283,1757,1167,8265
08,08041,1593,1096,310,231,25,764,194,479,35,427,135,282,123,95,152,245,20,5,205
08,08042,1403,1086,198,65,17,715,163,487,2,456,17,32,15,374,427,85,60,5,418
08,08043,2961,2259,463,91,11,1208,198,965,17,922,16,127,18,813,892,770,153,89,904
08,08044,4371,3224,692,133,23,1471,265,1310,15,1248,18,53,12,1073,1248,962,248,188,1229
08,08045,44752,32281,7809,1036,373,14193,4434,13132,81,12933,114,172,31,11669,12611,11367,3698,3501,12814
08,08046,7797,4982,1676,897,167,3634,1947,1888,477,1566,247,1053,551,227,420,506,64,5,752
08,08047,5141,3586,1022,344,49,2348,539,1481,127,1359,144,374,141,520,875,773,121,5,1021
08,08048,23255,17140,3687,588,244,9688,2390,7604,50,7409,60,496,38,6822,7355,6569,1577,840,6854
08,08049,2574,1881,452,242,23,1190,135,760,28,685,35,109,34,401,590,590,80,6,628
08,08050,63412,45598,10988,904,410,14458,6976,19317,24,19118,139,214,42,17308,18871,17036,7522,6179,18730
08,08051,7569,4935,1432,331,51,2789,1703,2128,112,2042,199,896,163,1266,1516,1601,214,120,1707
08,08052,28040,19644,4948,537,238,8936,4892,8652,35,8508,66,68,76,7549,8316,7727,2515,2350,8005
08,08053,5486,3917,1023,166,38,2481,524,1702,6,1656,22,130,1,1434,1642,1401,206,101,1655
08,08054,7969,5566,1457,190,520,4624,1030,2107,8,2072,4,39,3,1985,2053,1947,379,268,776
08,08055,16896,12376,2790,498,77,5899,1705,5063,18,4917,77,113,45,4448,4855,4410,1141,831,4937
08,08056,2018,1561,303,157,8,1061,269,614,11,580,9,91,10,470,573,480,68,13,575
08,08057,2136,1684,306,141,21,1080,130,741,14,685,15,59,23,549,656,571,82,16,670
08,08058,2471,1934,339,36,11,906,67,796,1,780,1,6,2,730,773,631,209,37,777
08,08059,5086,3780,810,80,33,1330,144,1536,25,1464,51,60,35,1302,1426,1290,515,485,1456
08,08060,10721,7968,1593,219,32,2574,430,3084,30,2990,74,96,13,2772,2991,2704,1160,941,3024
08,08061,3159,2513,412,161,8,1706,180,1105,11,1089,15,19,7,912,1075,864,82,37,1019
08,08062,31196,22930,5158,680,118,9527,2728,8955,34,8777,61,104,14,8106,8745,7881,2461,2056,8793
08,08064,1697,1270,261,108,19,814,103,514,12,458,16,54,13,337,468,416,67,33,482
08,08066,6094,4260,1139,743,91,2966,289,1737,259,1626,479,1033,380,322,560,714,97,12,897
08,08067,5199,3939,791,229,27,2509,409,1740,8,1666,18,71,47,1509,1660,1361,221,154,1642
09,,8918653,7128836,1119056,105155,24541,1451688,1853033,2601323,10859,2582543,25187,4301,1311,2130254,2429286,2221887,1421201,1508163,2545520
09,09002,400161,327926,46420,4647,1450,65851,61989,119027,288,118102,194,33,5,101607,113899,99895,69483,71663,116974
09,09003,608479,506449,63143,4874,779,74863,120916,186317,267,184480,121,285,28,161357,179718,163633,123745,130170,181916
09,09004,199224,154561,26974,2535,570,31112,39205,55478,372,54896,256,89,93,46762,49959,49656,33844,35734,54231
09,09005,1164477,931274,146714,16428,3427,208626,236270,324587,780,322407,1208,440,148,262369,303489,267892,157476,171106,318902
09,09006,390348,315498,48280,2780,647,57439,82466,110174,112,109383,86,36,0,92597,106067,95038,61183,64461,109008
09,09007,1827868,1414880,257705,25615,5715,342101,434868,495665,2739,492687,4226,412,345,387241,454302,405200,217617,232110,485756
09,09008,243886,189468,34756,3537,827,47319,46792,66676,688,65966,534,136,30,54393,61016,54664,32187,35241,65113
09,09009,137927,101038,23122,2940,657,28815,26120,34086,683,33790,4375,469,126,21845,25899,25633,10097,9239,32717
09,09010,749982,597803,96076,9652,2236,136475,147294,214895,472,212906,1049,191,22,182162,201539,185892,118619,130396,210669
09,09011,361593,278302,52619,5330,988,65751,58676,94678,665,94101,950,283,62,72236,85263,77901,40298,43168,92492
09,09012,677104,533682,90231,9264,1544,112390,159022,190591,1249,189204,4641,633,150,157207,175111,168677,106141,112262,186676
09,09013,415933,317062,61712,5972,1615,75865,96561,107270,1728,106210,6960,1102,205,79636,93753,90461,48890,50144,104480
09,09014,417416,362779,32781,2427,545,29751,74861,159700,58,159107,12,48,22,139382,155797,148393,127590,130606,155561
09,09015,532553,446045,52529,3764,1461,71002,126207,188135,324,186894,311,30,0,154615,179551,167051,115084,123470,182046
09,09016,364439,305043,35763,2124,894,37302,63606,128042,53,127548,41,16,0,111781,124727,116425,94552,97134,125176
